RoiName:,Aortic ascending flow,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RL[mm],AP[mm],FH[mm],,,,,,,,,,,,,,,,,,,,,,,,,
TopLeftCorner,-7.225985771,-49.20658036,12.86015773,,,,,,,,,,,,,,,,,,,,,,,,,
TopRightCorner,26.68025462,-49.20658036,12.88568114,,,,,,,,,,,,,,,,,,,,,,,,,
BottomRightCorner,26.68014248,-11.66781349,13.03466053,,,,,,,,,,,,,,,,,,,,,,,,,
BottomLeftCorner,-7.226097918,-11.66781349,13.00913712,,,,,,,,,,,,,,,,,,,,,,,,,
ResolutionRows[mm]:,1.2109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResolutionCols[mm]:,1.2109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
VelocityScale[cm/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,-0.537252426,5.128192902,4.835152626,2.39315033,3.956031799,6.007313728,3.858375549,3.36997509,7.081794739,9.816837311,8.547019958,7.277154922,10.89131832,13.62638474,8.253955841,1.318669319,5.128192902,11.37971878,8.937740326,0,0,0,0
0,0,0,0,0,-3.174602985,4.93285656,7.667899132,6.984138489,6.398034096,6.300377846,4.639792442,3.46763134,6.398034096,12.64955997,16.36142731,12.64955997,6.691074371,8.253955841,13.62638474,12.94260025,6.886434555,4.737496376,7.765555382,5.128192902,0,0,0,0
0,0,0,0,-12.35653114,6.886434555,11.47742271,11.37971878,12.45419979,12.45419979,8.058619499,5.03051281,7.081794739,11.18438244,14.40782547,15.67766666,14.11478519,10.5006218,9.719181061,13.13796043,14.11478519,10.98902225,8.253955841,6.984138489,2.979254723,0,0,0,0
0,0,0,0,-0.732600689,14.60318565,16.26372337,15.57996273,15.2869463,10.69595814,5.03051281,6.593394279,13.43102455,15.1892662,9.230780602,5.518913269,8.644676208,13.72406483,15.67766666,14.60318565,13.13796043,11.57507896,10.98902225,10.10990143,3.760671616,-5.323565006,0,0,0
0,0,0,0,9.328436852,15.48230648,14.60318565,13.82172108,11.6727829,4.93285656,1.221013069,7.374858856,17.63124466,17.63124466,4.542136192,-4.346776009,0.439548492,13.04030418,20.7570076,17.33820343,10.79366207,8.253955841,11.57507896,12.74726391,6.495738029,-3.174602985,0,0,0
0,0,0,0,17.14284515,13.82172108,8.058619499,4.444432259,4.542136192,3.760671616,3.663015366,8.547019958,16.06836319,18.02196503,10.10990143,-0.341868401,0.048851967,13.5286808,23.00367355,18.51036453,8.449316025,6.788778305,13.91942501,16.45908356,12.94260025,5.128192902,0,0,0
0,0,0,0,25.83637238,15.1892662,5.421257019,0.146508217,2.686214447,9.133076668,14.01708126,13.23566437,14.11478519,17.92430878,19.87791061,15.97070694,13.72406483,20.95236778,24.07813072,15.77532291,5.518913269,8.351659775,18.60807037,21.92919159,19.78020668,13.43102455,0,0,0
0,0,0,0,30.52501678,14.79854584,6.984138489,4.346776009,6.691074371,11.6727829,17.82660484,18.99879074,16.84982681,16.65444374,20.073246,22.31988907,22.80831337,23.58972931,21.44079208,13.43102455,6.593394279,10.20755768,18.80342865,19.97558975,15.97070694,10.5006218,0,0,0
0,0,0,0,22.71060944,6.691074371,6.691074371,12.35654354,12.94260025,10.20755768,11.28206253,17.24054718,19.29183006,15.87302685,14.01708126,13.82172108,13.43102455,12.45419979,12.35654354,12.844944,13.5286808,15.38460255,15.67766666,11.37971878,7.179498672,4.93285656,0,0,0
0,0,0,0,0,-0.537252426,6.300377846,19.29183006,20.46396637,11.6727829,6.788778305,11.37971878,17.92430878,15.97070694,10.10990143,5.616617203,1.318669319,-1.123321056,3.174614906,14.01708126,23.39437103,23.88277054,16.16606712,8.058619499,4.93285656,0,0,0,0
